country_std,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Argentina,1,1.04,1.05,1.06,1.1,1.05,0.98,0.9,0.97,1.12,1.14,1.23,1.21,1.3,1.2,1.24,1.25,1.25,1.22,1.29
Australia,4.24,4.5,4.5,4.61,4.68,4.69,4.57,4.75,4.62,4.65,4.68,4.8,4.78,4.86,4.95,4.81,4.74,4.62,4.36,4.17
Brazil,0.44,0.47,0.49,0.5,0.51,0.51,0.52,0.51,0.48,0.5,0.51,0.5,0.52,0.55,0.51,0.58,0.6,0.63,0.67,0.7
Canada,4.35,4.42,4.52,4.59,4.63,4.75,4.65,4.53,4.77,4.71,4.71,4.55,4.58,4.58,4.34,4.27,4.25,4.05,4,4.12
China,0.75,0.77,0.76,0.73,0.72,0.73,0.74,0.82,0.96,1.1,1.23,1.35,1.44,1.53,1.64,1.78,1.97,2.02,2.05,2.05
France,0.99,1.03,1.06,1.35,1.22,1.22,1.31,1.32,1.39,1.43,1.36,1.31,1.41,1.38,1.38,1.37,1.45,1.51,1.5,1.5
Germany,2.88,2.95,2.86,2.83,2.72,2.75,2.83,2.74,2.72,2.7,2.63,2.7,2.55,2.55,2.45,2.57,2.48,2.51,2.56,2.43
India,0.23,0.24,0.25,0.25,0.26,0.27,0.27,0.26,0.27,0.28,0.29,0.31,0.33,0.36,0.39,0.38,0.4,0.44,0.43,0.47
Indonesia,0.31,0.34,0.37,0.28,0.31,0.34,0.37,0.38,0.39,0.41,0.41,0.41,0.44,0.48,0.51,0.48,0.67,0.7,0.53,0.5
Italy,2.06,2.04,2.06,2.11,2.12,2.16,2.15,2.15,2.21,2.22,2.2,2.17,2.12,2.04,1.84,1.85,1.82,1.69,1.57,1.46
Japan,2.59,2.63,2.62,2.52,2.6,2.65,2.61,2.64,2.68,2.73,2.67,2.66,2.68,2.59,2.36,2.51,2.55,2.64,2.68,2.61
"Korea, Republic of",2.29,2.45,2.59,2.19,2.38,2.65,2.66,2.74,2.73,2.81,2.68,2.72,2.84,2.89,2.84,3.15,3.26,3.21,3.24,3.2
Mexico,0.98,1.01,1.06,1.09,1.08,1.09,1.11,1.1,1.16,1.14,1.19,1.21,1.15,1.17,1.11,1.07,1.1,1.11,1.08,1.04
Russian Federation,2.99,2.96,2.81,2.76,2.83,2.89,2.91,2.92,3.02,3.03,3.06,3.17,3.16,3.26,3,3.18,3.36,3.48,3.38,3.24
Saudi Arabia,3.47,3.76,3.1,2.94,3.15,4.04,3.92,4.15,4,4.65,4.51,4.76,4.08,4.45,4.67,5.03,4.74,5.22,4.89,5.31
South Africa,2.39,2.36,2.46,2.37,2.32,2.31,2.24,2.11,2.37,2.6,2.38,2.53,2.57,2.69,2.69,2.5,2.46,2.42,2.38,2.47
Turkey,0.8,0.86,0.89,0.89,0.86,0.93,0.82,0.86,0.9,0.91,0.95,1.03,1.12,1.1,1.06,1.12,1.19,1.2,1.16,1.22
United Kingdom,2.52,2.58,2.46,2.47,2.46,2.5,2.51,2.42,2.46,2.45,2.45,2.43,2.35,2.31,2.06,2.14,1.93,2.01,1.95,1.78
United States,5.18,5.24,5.29,5.26,5.3,5.42,5.27,5.26,5.24,5.26,5.25,5.12,5.13,4.93,4.61,4.69,4.56,4.38,4.38,4.43
